size,block_size,time,l1,l2
4096,128,48.0287,9941600518,33389603109
4096,128,47.7223,9943436156,33066675299
4096,256,46.2918,9151286445,23040949074
4096,256,46.8486,9152287830,23123114492
4096,512,48.6685,8752964694,19867724061
4096,512,47.4716,8752089378,19876395768
6144,128,161.378,33563953489,112833487861
6144,128,161.382,33563445639,113066319896
6144,256,155.865,30887257989,78213937548
6144,256,155.745,30887684250,78226184528
6144,512,156.769,29581165840,67474631948
6144,512,157.193,29581980673,67569464864
8192,128,386.101,79535238937,266099789083
8192,128,385.54,79528454967,266149883535
8192,256,482.505,73574912403,167616427384
8192,256,480.219,73559178694,167400069656
8192,512,448.438,70218666405,149973888370
8192,512,448.589,70218933476,149914083154